part_id,part_name,component_name,city,state,latitude,longitude,demand_intensity
102,Spark Plugs for Nissan Rogue 2015,spark plugs,Houston,TX,29.7604,-95.3698,0.34
102,Spark Plugs for Nissan Rogue 2015,spark plugs,Philadelphia,PA,39.9526,-75.1652,0.34
102,Spark Plugs for Nissan Rogue 2015,spark plugs,Austin,TX,30.2672,-97.7431,0.34
38,Batteries for Nissan Rogue 2015,batteries,Denver,CO,39.7392,-104.9903,0.33
38,Batteries for Nissan Rogue 2015,batteries,Detroit,MI,42.3314,-83.0458,0.34
38,Batteries for Nissan Rogue 2015,batteries,New York,NY,40.7128,-74.006,0.34
232,Starters for Nissan Rogue 2015,starters,Phoenix,AZ,33.4484,-112.074,0.33
232,Starters for Nissan Rogue 2015,starters,San Jose,CA,37.3382,-121.8863,0.34
232,Starters for Nissan Rogue 2015,starters,Houston,TX,29.7604,-95.3698,0.34
165,Oil Filters for Nissan Rogue 2015,oil filters,Detroit,MI,42.3314,-83.0458,0.35
165,Oil Filters for Nissan Rogue 2015,oil filters,Portland,OR,45.5051,-122.675,0.34
165,Oil Filters for Nissan Rogue 2015,oil filters,San Diego,CA,32.7157,-117.1611,0.35
133,Tires for Nissan Rogue 2015,tires,Portland,OR,45.5051,-122.675,0.33
133,Tires for Nissan Rogue 2015,tires,Austin,TX,30.2672,-97.7431,0.34
133,Tires for Nissan Rogue 2015,tires,Atlanta,GA,33.749,-84.388,0.34
247,Water Pumps for Nissan Rogue 2015,water pumps,Denver,CO,39.7392,-104.9903,0.34
247,Water Pumps for Nissan Rogue 2015,water pumps,Las Vegas,NV,36.1699,-115.1398,0.34
247,Water Pumps for Nissan Rogue 2015,water pumps,Los Angeles,CA,34.0522,-118.2437,0.34
80,Alternators for Nissan Rogue 2015,alternators,Portland,OR,45.5051,-122.675,0.34
80,Alternators for Nissan Rogue 2015,alternators,Detroit,MI,42.3314,-83.0458,0.34
80,Alternators for Nissan Rogue 2015,alternators,Los Angeles,CA,34.0522,-118.2437,0.34
194,Air Filters for Nissan Rogue 2015,air filters,Philadelphia,PA,39.9526,-75.1652,0.34
194,Air Filters for Nissan Rogue 2015,air filters,Portland,OR,45.5051,-122.675,0.33
194,Air Filters for Nissan Rogue 2015,air filters,San Antonio,TX,29.4241,-98.4936,0.34
273,Fuel Pumps for Nissan Rogue 2015,fuel pumps,Philadelphia,PA,39.9526,-75.1652,0.34
273,Fuel Pumps for Nissan Rogue 2015,fuel pumps,Jacksonville,FL,30.3322,-81.6557,0.34
273,Fuel Pumps for Nissan Rogue 2015,fuel pumps,Detroit,MI,42.3314,-83.0458,0.34
20,Brakes for Nissan Rogue 2015,brakes,New York,NY,40.7128,-74.006,0.34
20,Brakes for Nissan Rogue 2015,brakes,Portland,OR,45.5051,-122.675,0.34
20,Brakes for Nissan Rogue 2015,brakes,Las Vegas,NV,36.1699,-115.1398,0.34
176,Oil Filters for Hyundai Kona 2014,oil filters,Denver,CO,39.7392,-104.9903,0.33
176,Oil Filters for Hyundai Kona 2014,oil filters,Phoenix,AZ,33.4484,-112.074,0.34
176,Oil Filters for Hyundai Kona 2014,oil filters,Jacksonville,FL,30.3322,-81.6557,0.34
87,Alternators for Hyundai Kona 2014,alternators,Chicago,IL,41.8781,-87.6298,0.34
87,Alternators for Hyundai Kona 2014,alternators,Denver,CO,39.7392,-104.9903,0.34
87,Alternators for Hyundai Kona 2014,alternators,Austin,TX,30.2672,-97.7431,0.34
114,Spark Plugs for Hyundai Kona 2014,spark plugs,New York,NY,40.7128,-74.006,0.33
114,Spark Plugs for Hyundai Kona 2014,spark plugs,San Jose,CA,37.3382,-121.8863,0.34
114,Spark Plugs for Hyundai Kona 2014,spark plugs,Jacksonville,FL,30.3322,-81.6557,0.34
1,Brakes for Hyundai Kona 2014,brakes,Boston,MA,42.3601,-71.0589,0.33
1,Brakes for Hyundai Kona 2014,brakes,Chicago,IL,41.8781,-87.6298,0.33
1,Brakes for Hyundai Kona 2014,brakes,Los Angeles,CA,34.0522,-118.2437,0.33
60,Batteries for Hyundai Kona 2014,batteries,Boston,MA,42.3601,-71.0589,0.34
60,Batteries for Hyundai Kona 2014,batteries,Los Angeles,CA,34.0522,-118.2437,0.34
60,Batteries for Hyundai Kona 2014,batteries,Detroit,MI,42.3314,-83.0458,0.33
142,Tires for Hyundai Kona 2014,tires,Seattle,WA,47.6062,-122.3321,0.33
142,Tires for Hyundai Kona 2014,tires,Dallas,TX,32.7767,-96.797,0.33
142,Tires for Hyundai Kona 2014,tires,Jacksonville,FL,30.3322,-81.6557,0.33
298,Fuel Pumps for Hyundai Kona 2014,fuel pumps,Miami,FL,25.7617,-80.1918,0.33
298,Fuel Pumps for Hyundai Kona 2014,fuel pumps,Houston,TX,29.7604,-95.3698,0.34
298,Fuel Pumps for Hyundai Kona 2014,fuel pumps,Phoenix,AZ,33.4484,-112.074,0.33
209,Air Filters for Hyundai Kona 2014,air filters,Philadelphia,PA,39.9526,-75.1652,0.34
209,Air Filters for Hyundai Kona 2014,air filters,Atlanta,GA,33.749,-84.388,0.34
209,Air Filters for Hyundai Kona 2014,air filters,Houston,TX,29.7604,-95.3698,0.34
243,Water Pumps for Hyundai Kona 2014,water pumps,San Diego,CA,32.7157,-117.1611,0.34
243,Water Pumps for Hyundai Kona 2014,water pumps,Houston,TX,29.7604,-95.3698,0.34
243,Water Pumps for Hyundai Kona 2014,water pumps,Chicago,IL,41.8781,-87.6298,0.34
211,Starters for Hyundai Kona 2014,starters,Boston,MA,42.3601,-71.0589,0.33
