part_id,part_name,part_number,component_name,vehicle_type,expected_demand,recommended_stock
102,Spark Plugs for Nissan Rogue 2015,NIRO1504116,spark plugs,2015 Nissan Rogue,28,33
38,Batteries for Nissan Rogue 2015,NIRO1502959,batteries,2015 Nissan Rogue,28,33
232,Starters for Nissan Rogue 2015,NIRO1508699,starters,2015 Nissan Rogue,28,33
165,Oil Filters for Nissan Rogue 2015,NIRO1506956,oil filters,2015 Nissan Rogue,28,33
133,Tires for Nissan Rogue 2015,NIRO1505897,tires,2015 Nissan Rogue,28,33
247,Water Pumps for Nissan Rogue 2015,NIRO1509491,water pumps,2015 Nissan Rogue,28,33
80,Alternators for Nissan Rogue 2015,NIRO1503928,alternators,2015 Nissan Rogue,28,33
194,Air Filters for Nissan Rogue 2015,NIRO1507523,air filters,2015 Nissan Rogue,28,33
273,Fuel Pumps for Nissan Rogue 2015,NIRO1510813,fuel pumps,2015 Nissan Rogue,28,33
20,Brakes for Nissan Rogue 2015,NIRO1501400,brakes,2015 Nissan Rogue,28,33
176,Oil Filters for Hyundai Kona 2014,HYKO1406155,oil filters,2014 Hyundai Kona,25,30
87,Alternators for Hyundai Kona 2014,HYKO1403564,alternators,2014 Hyundai Kona,25,30
114,Spark Plugs for Hyundai Kona 2014,HYKO1404458,spark plugs,2014 Hyundai Kona,25,30
1,Brakes for Hyundai Kona 2014,HYKO1401676,brakes,2014 Hyundai Kona,25,30
60,Batteries for Hyundai Kona 2014,HYKO1402375,batteries,2014 Hyundai Kona,25,30
142,Tires for Hyundai Kona 2014,HYKO1405299,tires,2014 Hyundai Kona,25,30
298,Fuel Pumps for Hyundai Kona 2014,HYKO1410831,fuel pumps,2014 Hyundai Kona,25,30
209,Air Filters for Hyundai Kona 2014,HYKO1407929,air filters,2014 Hyundai Kona,25,30
243,Water Pumps for Hyundai Kona 2014,HYKO1409949,water pumps,2014 Hyundai Kona,25,30
211,Starters for Hyundai Kona 2014,HYKO1408211,starters,2014 Hyundai Kona,25,30
41,Batteries for Honda CR-V 2017,HOCR1702995,batteries,2017 Honda CR-V,24,29
220,Starters for Honda CR-V 2017,HOCR1708303,starters,2017 Honda CR-V,24,29
115,Spark Plugs for Honda CR-V 2017,HOCR1704961,spark plugs,2017 Honda CR-V,24,29
10,Brakes for Honda CR-V 2017,HOCR1701577,brakes,2017 Honda CR-V,24,29
149,Tires for Honda CR-V 2017,HOCR1705175,tires,2017 Honda CR-V,24,29
163,Oil Filters for Honda CR-V 2017,HOCR1706538,oil filters,2017 Honda CR-V,24,29
81,Alternators for Honda CR-V 2017,HOCR1703591,alternators,2017 Honda CR-V,24,29
207,Air Filters for Honda CR-V 2017,HOCR1707515,air filters,2017 Honda CR-V,24,29
271,Fuel Pumps for Honda CR-V 2017,HOCR1710970,fuel pumps,2017 Honda CR-V,24,29
266,Water Pumps for Honda CR-V 2017,HOCR1709914,water pumps,2017 Honda CR-V,24,29
250,Water Pumps for Mercedes GLC 2015,MEGL1509115,water pumps,2015 Mercedes GLC,22,26
286,Fuel Pumps for Mercedes GLC 2015,MEGL1510611,fuel pumps,2015 Mercedes GLC,22,26
180,Oil Filters for Mercedes GLC 2015,MEGL1506872,oil filters,2015 Mercedes GLC,22,26
21,Brakes for Mercedes GLC 2015,MEGL1501571,brakes,2015 Mercedes GLC,22,26
119,Spark Plugs for Mercedes GLC 2015,MEGL1504786,spark plugs,2015 Mercedes GLC,22,26
69,Alternators for Mercedes GLC 2015,MEGL1503940,alternators,2015 Mercedes GLC,22,26
126,Tires for Mercedes GLC 2015,MEGL1505449,tires,2015 Mercedes GLC,22,26
223,Starters for Mercedes GLC 2015,MEGL1508331,starters,2015 Mercedes GLC,22,26
39,Batteries for Mercedes GLC 2015,MEGL1502350,batteries,2015 Mercedes GLC,22,26
183,Air Filters for Mercedes GLC 2015,MEGL1507884,air filters,2015 Mercedes GLC,22,26
275,Fuel Pumps for Kia Soul 2006,KISO610489,fuel pumps,2006 Kia Soul,21,25
182,Air Filters for BMW X5 2022,BMX52207339,air filters,2022 BMW X5,21,25
191,Air Filters for Kia Soul 2006,KISO607440,air filters,2006 Kia Soul,21,25
255,Water Pumps for BMW X5 2022,BMX52209189,water pumps,2022 BMW X5,21,25
113,Spark Plugs for BMW X5 2022,BMX52204796,spark plugs,2022 BMW X5,21,25
17,Brakes for BMW X5 2022,BMX52201732,brakes,2022 BMW X5,21,25
143,Tires for BMW X5 2022,BMX52205284,tires,2022 BMW X5,21,25
161,Oil Filters for BMW X5 2022,BMX52206787,oil filters,2022 BMW X5,21,25
44,Batteries for Kia Soul 2006,KISO602262,batteries,2006 Kia Soul,21,25
256,Water Pumps for Kia Soul 2006,KISO609303,water pumps,2006 Kia Soul,21,25
235,Starters for Kia Soul 2006,KISO608975,starters,2006 Kia Soul,21,25
91,Spark Plugs for Kia Soul 2006,KISO604987,spark plugs,2006 Kia Soul,21,25
49,Batteries for BMW X5 2022,BMX52202577,batteries,2022 BMW X5,21,25
22,Brakes for Kia Soul 2006,KISO601306,brakes,2006 Kia Soul,21,25
138,Tires for Kia Soul 2006,KISO605589,tires,2006 Kia Soul,21,25
174,Oil Filters for Kia Soul 2006,KISO606794,oil filters,2006 Kia Soul,21,25
72,Alternators for Kia Soul 2006,KISO603977,alternators,2006 Kia Soul,21,25
217,Starters for BMW X5 2022,BMX52208346,starters,2022 BMW X5,21,25
63,Alternators for BMW X5 2022,BMX52203956,alternators,2022 BMW X5,21,25
299,Fuel Pumps for BMW X5 2022,BMX52210116,fuel pumps,2022 BMW X5,21,25
242,Water Pumps for Mercedes GLE 2019,MEGL1909964,water pumps,2019 Mercedes GLE,20,23
5,Brakes for Hyundai Sonata 2017,HYSO1701397,brakes,2017 Hyundai Sonata,20,23
106,Spark Plugs for Hyundai Sonata 2017,HYSO1704639,spark plugs,2017 Hyundai Sonata,20,23
15,Brakes for Mercedes GLE 2019,MEGL1901109,brakes,2019 Mercedes GLE,20,23
