part_id,part_name,part_number,type_id,component_id
1,Brakes for Hyundai Kona 2014,HYKO1401676,14,1
2,Brakes for Audi Q5 2022,AUQ52201332,11,1
3,Brakes for Nissan Sentra 2023,NISE2301606,28,1
4,Brakes for Hyundai Sonata 2005,HYSO501789,7,1
5,Brakes for Hyundai Sonata 2017,HYSO1701397,13,1
6,Brakes for Kia Sportage 2023,KISP2301544,1,1
7,Brakes for Toyota Highlander 2013,TOHI1301395,2,1
8,Brakes for Audi Q5 2020,AUQ52001984,3,1
9,Brakes for Toyota RAV4 2020,TORA2001660,27,1
10,Brakes for Honda CR-V 2017,HOCR1701577,24,1
11,Brakes for Hyundai Santa Fe 2021,HYSA2101626,26,1
12,Brakes for Honda Odyssey 2015,HOOD1501637,10,1
13,Brakes for Ford Explorer 2022,FOEX2201184,29,1
14,Brakes for Hyundai Santa Fe 2006,HYSA601804,12,1
15,Brakes for Mercedes GLE 2019,MEGL1901109,18,1
16,Brakes for Ford Explorer 2020,FOEX2001163,30,1
17,Brakes for BMW X5 2022,BMX52201732,6,1
18,Brakes for Chevrolet Suburban 2021,CHSU2101880,15,1
19,Brakes for Hyundai Sonata 2023,HYSO2301191,19,1
20,Brakes for Nissan Rogue 2015,NIRO1501400,4,1
21,Brakes for Mercedes GLC 2015,MEGL1501571,16,1
22,Brakes for Kia Soul 2006,KISO601306,5,1
23,Brakes for Mercedes GLE 2016,MEGL1601786,21,1
24,Brakes for Chevrolet Suburban 2022,CHSU2201102,8,1
25,Brakes for Hyundai Sonata 2007,HYSO701639,20,1
26,Brakes for Ford Focus 2010,FOFO1001396,23,1
27,Brakes for Ford Focus 2023,FOFO2301461,22,1
28,Brakes for Audi Q7 2011,AUQ71101762,17,1
29,Brakes for BMW 5 Series 2011,BM5 1101654,9,1
30,Brakes for Chevrolet Malibu 2023,CHMA2301856,25,1
31,Batteries for Chevrolet Malibu 2023,CHMA2302840,25,2
32,Batteries for Toyota RAV4 2020,TORA2002742,27,2
33,Batteries for Audi Q5 2022,AUQ52202435,11,2
34,Batteries for Ford Explorer 2022,FOEX2202295,29,2
35,Batteries for Honda Odyssey 2015,HOOD1502566,10,2
36,Batteries for Hyundai Santa Fe 2006,HYSA602987,12,2
37,Batteries for Mercedes GLE 2016,MEGL1602642,21,2
38,Batteries for Nissan Rogue 2015,NIRO1502959,4,2
39,Batteries for Mercedes GLC 2015,MEGL1502350,16,2
40,Batteries for Kia Sportage 2023,KISP2302446,1,2
41,Batteries for Honda CR-V 2017,HOCR1702995,24,2
42,Batteries for Hyundai Sonata 2023,HYSO2302156,19,2
43,Batteries for Chevrolet Suburban 2022,CHSU2202765,8,2
44,Batteries for Kia Soul 2006,KISO602262,5,2
45,Batteries for Hyundai Sonata 2005,HYSO502988,7,2
46,Batteries for Ford Explorer 2020,FOEX2002304,30,2
47,Batteries for Chevrolet Suburban 2021,CHSU2102537,15,2
48,Batteries for Audi Q5 2020,AUQ52002628,3,2
49,Batteries for BMW X5 2022,BMX52202577,6,2
50,Batteries for Ford Focus 2023,FOFO2302163,22,2
51,Batteries for Hyundai Santa Fe 2021,HYSA2102859,26,2
52,Batteries for Hyundai Sonata 2007,HYSO702964,20,2
53,Batteries for Audi Q7 2011,AUQ71102953,17,2
54,Batteries for BMW 5 Series 2011,BM5 1102885,9,2
55,Batteries for Ford Focus 2010,FOFO1002160,23,2
56,Batteries for Mercedes GLE 2019,MEGL1902229,18,2
57,Batteries for Nissan Sentra 2023,NISE2302294,28,2
58,Batteries for Hyundai Sonata 2017,HYSO1702448,13,2
59,Batteries for Toyota Highlander 2013,TOHI1302795,2,2
60,Batteries for Hyundai Kona 2014,HYKO1402375,14,2
61,Alternators for Ford Focus 2010,FOFO1003268,23,3
62,Alternators for Hyundai Sonata 2017,HYSO1703406,13,3
63,Alternators for BMW X5 2022,BMX52203956,6,3
64,Alternators for Kia Sportage 2023,KISP2303725,1,3
65,Alternators for Hyundai Sonata 2023,HYSO2303860,19,3
66,Alternators for Toyota Highlander 2013,TOHI1303671,2,3
67,Alternators for Hyundai Sonata 2005,HYSO503287,7,3
68,Alternators for Chevrolet Suburban 2021,CHSU2103530,15,3
69,Alternators for Mercedes GLC 2015,MEGL1503940,16,3
70,Alternators for Audi Q5 2020,AUQ52003894,3,3
71,Alternators for Toyota RAV4 2020,TORA2003967,27,3
72,Alternators for Kia Soul 2006,KISO603977,5,3
73,Alternators for Hyundai Santa Fe 2021,HYSA2103322,26,3
74,Alternators for Honda Odyssey 2015,HOOD1503188,10,3
75,Alternators for Audi Q7 2011,AUQ71103397,17,3
76,Alternators for Audi Q5 2022,AUQ52203280,11,3
77,Alternators for Ford Focus 2023,FOFO2303529,22,3
78,Alternators for Ford Explorer 2022,FOEX2203343,29,3
79,Alternators for Mercedes GLE 2019,MEGL1903871,18,3
80,Alternators for Nissan Rogue 2015,NIRO1503928,4,3
81,Alternators for Honda CR-V 2017,HOCR1703591,24,3
82,Alternators for Mercedes GLE 2016,MEGL1603315,21,3
83,Alternators for Chevrolet Malibu 2023,CHMA2303477,25,3
84,Alternators for Hyundai Sonata 2007,HYSO703411,20,3
85,Alternators for Chevrolet Suburban 2022,CHSU2203692,8,3
86,Alternators for Hyundai Santa Fe 2006,HYSA603974,12,3
87,Alternators for Hyundai Kona 2014,HYKO1403564,14,3
88,Alternators for BMW 5 Series 2011,BM5 1103356,9,3
89,Alternators for Ford Explorer 2020,FOEX2003925,30,3
90,Alternators for Nissan Sentra 2023,NISE2303591,28,3
91,Spark Plugs for Kia Soul 2006,KISO604987,5,4
92,Spark Plugs for Audi Q5 2022,AUQ52204618,11,4
93,Spark Plugs for Nissan Sentra 2023,NISE2304185,28,4
94,Spark Plugs for Ford Focus 2023,FOFO2304457,22,4
95,Spark Plugs for Mercedes GLE 2016,MEGL1604625,21,4
96,Spark Plugs for Hyundai Sonata 2007,HYSO704988,20,4
97,Spark Plugs for Ford Explorer 2020,FOEX2004548,30,4
98,Spark Plugs for Ford Explorer 2022,FOEX2204308,29,4
99,Spark Plugs for Hyundai Santa Fe 2006,HYSA604923,12,4
100,Spark Plugs for BMW 5 Series 2011,BM5 1104338,9,4
101,Spark Plugs for Chevrolet Malibu 2023,CHMA2304144,25,4
102,Spark Plugs for Nissan Rogue 2015,NIRO1504116,4,4
103,Spark Plugs for Toyota RAV4 2020,TORA2004904,27,4
104,Spark Plugs for Chevrolet Suburban 2021,CHSU2104131,15,4
105,Spark Plugs for Hyundai Sonata 2023,HYSO2304969,19,4
106,Spark Plugs for Hyundai Sonata 2017,HYSO1704639,13,4
107,Spark Plugs for Audi Q7 2011,AUQ71104167,17,4
108,Spark Plugs for Hyundai Sonata 2005,HYSO504532,7,4
109,Spark Plugs for Chevrolet Suburban 2022,CHSU2204552,8,4
110,Spark Plugs for Ford Focus 2010,FOFO1004824,23,4
111,Spark Plugs for Honda Odyssey 2015,HOOD1504801,10,4
112,Spark Plugs for Kia Sportage 2023,KISP2304701,1,4
113,Spark Plugs for BMW X5 2022,BMX52204796,6,4
114,Spark Plugs for Hyundai Kona 2014,HYKO1404458,14,4
115,Spark Plugs for Honda CR-V 2017,HOCR1704961,24,4
116,Spark Plugs for Mercedes GLE 2019,MEGL1904865,18,4
117,Spark Plugs for Audi Q5 2020,AUQ52004189,3,4
118,Spark Plugs for Toyota Highlander 2013,TOHI1304583,2,4
119,Spark Plugs for Mercedes GLC 2015,MEGL1504786,16,4
120,Spark Plugs for Hyundai Santa Fe 2021,HYSA2104382,26,4
121,Tires for Hyundai Sonata 2007,HYSO705667,20,5
122,Tires for Hyundai Sonata 2005,HYSO505980,7,5
123,Tires for Chevrolet Suburban 2021,CHSU2105234,15,5
124,Tires for Mercedes GLE 2016,MEGL1605963,21,5
125,Tires for Ford Focus 2010,FOFO1005776,23,5
126,Tires for Mercedes GLC 2015,MEGL1505449,16,5
127,Tires for Hyundai Sonata 2023,HYSO2305217,19,5
128,Tires for Ford Explorer 2022,FOEX2205517,29,5
129,Tires for Audi Q7 2011,AUQ71105588,17,5
130,Tires for Hyundai Santa Fe 2021,HYSA2105751,26,5
131,Tires for Ford Explorer 2020,FOEX2005235,30,5
132,Tires for Audi Q5 2020,AUQ52005312,3,5
133,Tires for Nissan Rogue 2015,NIRO1505897,4,5
134,Tires for Nissan Sentra 2023,NISE2305272,28,5
135,Tires for BMW 5 Series 2011,BM5 1105291,9,5
136,Tires for Chevrolet Malibu 2023,CHMA2305221,25,5
137,Tires for Honda Odyssey 2015,HOOD1505702,10,5
138,Tires for Kia Soul 2006,KISO605589,5,5
139,Tires for Hyundai Sonata 2017,HYSO1705761,13,5
140,Tires for Chevrolet Suburban 2022,CHSU2205443,8,5
141,Tires for Mercedes GLE 2019,MEGL1905818,18,5
142,Tires for Hyundai Kona 2014,HYKO1405299,14,5
143,Tires for BMW X5 2022,BMX52205284,6,5
144,Tires for Kia Sportage 2023,KISP2305314,1,5
145,Tires for Toyota RAV4 2020,TORA2005934,27,5
146,Tires for Ford Focus 2023,FOFO2305439,22,5
147,Tires for Hyundai Santa Fe 2006,HYSA605634,12,5
