part_id,part_name,part_number,expected_demand,current_stock,recommended_stock,retail_price,wholesale_price,demand_trend,priority
1,Brakes for Hyundai Kona 2014,HYKO1401676,880,979,1030,93.45,74.76,increasing,medium
2,Brakes for Audi Q5 2022,AUQ52201332,867,702,1037,121.73,97.38,stable,high
3,Brakes for Nissan Sentra 2023,NISE2301606,477,352,481,137.56,110.05,stable,medium
4,Brakes for Hyundai Sonata 2005,HYSO501789,1036,1000,1126,112.38,89.91,increasing,high
5,Brakes for Hyundai Sonata 2017,HYSO1701397,660,425,562,115.22,92.17,stable,medium
6,Brakes for Kia Sportage 2023,KISP2301544,468,430,433,161.69,129.36,stable,medium
7,Brakes for Toyota Highlander 2013,TOHI1301395,461,503,461,82.14,65.71,stable,low
8,Brakes for Audi Q5 2020,AUQ52001984,122,97,132,71.7,57.36,increasing,low
9,Brakes for Toyota RAV4 2020,TORA2001660,767,553,856,150.77,120.62,stable,medium
10,Brakes for Honda CR-V 2017,HOCR1701577,303,168,270,79.56,63.65,stable,medium
11,Brakes for Hyundai Santa Fe 2021,HYSA2101626,825,531,700,121.95,97.56,stable,high
12,Brakes for Honda Odyssey 2015,HOOD1501637,384,433,457,153.04,122.44,stable,low
13,Brakes for Ford Explorer 2022,FOEX2201184,200,138,203,90.81,72.65,stable,medium
14,Brakes for Hyundai Santa Fe 2006,HYSA601804,912,538,789,94.12,75.3,increasing,medium
15,Brakes for Mercedes GLE 2019,MEGL1901109,678,409,559,75.77,60.61,stable,medium
16,Brakes for Ford Explorer 2020,FOEX2001163,641,681,754,138.76,111.01,stable,low
17,Brakes for BMW X5 2022,BMX52201732,238,255,243,163.72,130.97,stable,medium
18,Brakes for Chevrolet Suburban 2021,CHSU2101880,349,169,280,121.39,97.11,decreasing,medium
19,Brakes for Hyundai Sonata 2023,HYSO2301191,790,614,888,111.84,89.47,decreasing,medium
20,Brakes for Nissan Rogue 2015,NIRO1501400,861,928,997,120.11,96.09,stable,medium
21,Brakes for Mercedes GLC 2015,MEGL1501571,533,371,485,143.08,114.46,increasing,medium
22,Brakes for Kia Soul 2006,KISO601306,191,135,164,134.43,107.54,stable,high
23,Brakes for Mercedes GLE 2016,MEGL1601786,662,727,716,119.37,95.49,stable,medium
24,Brakes for Chevrolet Suburban 2022,CHSU2201102,808,775,775,74.83,59.86,increasing,low
25,Brakes for Hyundai Sonata 2007,HYSO701639,661,748,688,77.22,61.78,decreasing,low
26,Brakes for Ford Focus 2010,FOFO1001396,166,143,151,141.7,113.36,increasing,medium
27,Brakes for Ford Focus 2023,FOFO2301461,599,448,528,136.21,108.97,stable,high
28,Brakes for Audi Q7 2011,AUQ71101762,665,416,623,103.32,82.66,stable,medium
29,Brakes for BMW 5 Series 2011,BM5 1101654,708,815,811,79.65,63.72,stable,low
30,Brakes for Chevrolet Malibu 2023,CHMA2301856,346,342,361,154.94,123.95,increasing,low
31,Batteries for Chevrolet Malibu 2023,CHMA2302840,668,445,566,316.11,252.89,increasing,medium
32,Batteries for Toyota RAV4 2020,TORA2002742,487,499,554,320.46,256.37,decreasing,medium
33,Batteries for Audi Q5 2022,AUQ52202435,454,344,465,325.29,260.23,decreasing,low
34,Batteries for Ford Explorer 2022,FOEX2202295,234,204,216,144.69,115.75,increasing,medium
35,Batteries for Honda Odyssey 2015,HOOD1502566,637,491,510,288.72,230.98,decreasing,medium
36,Batteries for Hyundai Santa Fe 2006,HYSA602987,437,357,411,319.48,255.58,stable,medium
37,Batteries for Mercedes GLE 2016,MEGL1602642,543,406,504,149.79,119.83,decreasing,low
38,Batteries for Nissan Rogue 2015,NIRO1502959,578,577,684,281.31,225.05,stable,medium
39,Batteries for Mercedes GLC 2015,MEGL1502350,503,321,427,133.19,106.55,stable,high
40,Batteries for Kia Sportage 2023,KISP2302446,795,650,847,171.38,137.11,increasing,medium
41,Batteries for Honda CR-V 2017,HOCR1702995,249,216,258,316.74,253.39,decreasing,low
42,Batteries for Hyundai Sonata 2023,HYSO2302156,559,548,614,199.54,159.63,decreasing,low
43,Batteries for Chevrolet Suburban 2022,CHSU2202765,798,796,897,238.65,190.92,stable,medium
44,Batteries for Kia Soul 2006,KISO602262,620,465,618,183.32,146.66,decreasing,medium
45,Batteries for Hyundai Sonata 2005,HYSO502988,209,185,185,235.55,188.44,decreasing,low
46,Batteries for Ford Explorer 2020,FOEX2002304,234,239,242,123.24,98.59,increasing,medium
47,Batteries for Chevrolet Suburban 2021,CHSU2102537,777,628,852,275.37,220.3,increasing,low
48,Batteries for Audi Q5 2020,AUQ52002628,707,486,692,199.21,159.37,increasing,low
49,Batteries for BMW X5 2022,BMX52202577,745,428,658,182.27,145.82,decreasing,high
50,Batteries for Ford Focus 2023,FOFO2302163,526,549,574,285.74,228.59,stable,high
51,Batteries for Hyundai Santa Fe 2021,HYSA2102859,447,404,422,241.37,193.1,stable,low
52,Batteries for Hyundai Sonata 2007,HYSO702964,728,583,647,276.95,221.56,stable,medium
53,Batteries for Audi Q7 2011,AUQ71102953,533,572,544,259.46,207.57,increasing,high
54,Batteries for BMW 5 Series 2011,BM5 1102885,334,283,363,228.3,182.64,increasing,low
55,Batteries for Ford Focus 2010,FOFO1002160,758,678,672,198.22,158.57,increasing,medium
56,Batteries for Mercedes GLE 2019,MEGL1902229,508,506,530,109.62,87.7,stable,medium
57,Batteries for Nissan Sentra 2023,NISE2302294,280,200,258,193.65,154.92,decreasing,medium
58,Batteries for Hyundai Sonata 2017,HYSO1702448,743,542,799,124.48,99.58,stable,high
59,Batteries for Toyota Highlander 2013,TOHI1302795,716,722,761,306.14,244.91,stable,low
60,Batteries for Hyundai Kona 2014,HYKO1402375,399,497,470,209.45,167.56,stable,low
61,Alternators for Ford Focus 2010,FOFO1003268,148,106,161,355.09,284.07,decreasing,low
62,Alternators for Hyundai Sonata 2017,HYSO1703406,115,72,102,407.78,326.22,stable,medium
